gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,heraldkills,oppheraldkills,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Blue,ADC,jinjiao,Bilibili Gaming,Varus,Pantheon,Senna,Elise,Mordekaiser,Irelia,30.93333333,0,0,5,3,6,18, , , , , ,, , ,0,0.129310345,0.775862069, ,,1,4,,,,,,,,,,,,,,,4,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Blue,Jungle,Meteor,Bilibili Gaming,Gragas,Pantheon,Senna,Elise,Mordekaiser,Irelia,30.93333333,0,0,4,2,6,18, , , , , ,, , ,0,0.064655172,0.775862069, ,,1,4,,,,,,,,,,,,,,,4,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Blue,Middle,FoFo,Bilibili Gaming,Lucian,Pantheon,Senna,Elise,Mordekaiser,Irelia,30.93333333,0,3,2,1,6,18, , , , , ,, , ,0.096982759,0.323275862,0.775862069, ,,1,4,,,,,,,,,,,,,,,4,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Blue,Support,XinMo,Bilibili Gaming,Braum,Pantheon,Senna,Elise,Mordekaiser,Irelia,30.93333333,0,0,5,5,6,18, , , , , ,, , ,0,0,0.775862069, ,,1,4,,,,,,,,,,,,,,,4,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Blue,Top,kingen,Bilibili Gaming,Aatrox,Pantheon,Senna,Elise,Mordekaiser,Irelia,30.93333333,0,3,2,1,6,18, , , , , ,, , ,0.096982759,0.064655172,0.775862069, ,,1,4,,,,,,,,,,,,,,,4,9,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Red,ADC,Betty,Royal Never Give Up,Miss Fortune,Akali,Aphelios,Qiyana,Zoe,LeBlanc,30.93333333,1,4,1,9,18,6, , , , , ,, , ,0.129310345,0,0.775862069, ,,4,1,,,,,,,,,,,,,,,9,4,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Red,Jungle,XLB,Royal Never Give Up,Rek'Sai,Akali,Aphelios,Qiyana,Zoe,LeBlanc,30.93333333,1,2,3,5,18,6, , , , , ,, , ,0.064655172,0,0.775862069, ,,4,1,,,,,,,,,,,,,,,9,4,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Red,Middle,xiaohu,Royal Never Give Up,Rumble,Akali,Aphelios,Qiyana,Zoe,LeBlanc,30.93333333,1,10,0,6,18,6, , , , , ,, , ,0.323275862,0.096982759,0.775862069, ,,4,1,,,,,,,,,,,,,,,9,4,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Red,Support,Ming,Royal Never Give Up,Rakan,Akali,Aphelios,Qiyana,Zoe,LeBlanc,30.93333333,1,0,2,16,18,6, , , , , ,, , ,0,0,0.775862069, ,,4,1,,,,,,,,,,,,,,,9,4,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
2020-111Bilibili GamingRoyal Never Give Up,,LPL,2020-1, ,1,1,10.01,1,Red,Top,Langx,Royal Never Give Up,Renekton,Akali,Aphelios,Qiyana,Zoe,LeBlanc,30.93333333,1,2,0,7,18,6, , , , , ,, , ,0.064655172,0.096982759,0.775862069, ,,4,1,,,,,,,,,,,,,,,9,4,,,,,,, ,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
