Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
ADC, huanfeng (14474111), huanfeng,14474111,CPT,12300,SN@V5 04/06/2020 02:00AM ET,SN,80.32
ADC, Weiwei (14474112), Weiwei,14474112,CPT,12000,SN@V5 04/06/2020 02:00AM ET,SN,55.76
MID, Knight (14474084), Knight,14474084,CPT,12000,TES@RW 04/06/2020 05:30AM ET,TES,78.91
MID, Angel (14474085), Angel,14474085,CPT,11700,SN@V5 04/06/2020 02:00AM ET,SN,72.74
ADC, Photic (14474113), Photic,14474113,CPT,11700,TES@RW 04/06/2020 05:30AM ET,TES,75.57
ADC, JackeyLove (14474114), JackeyLove,14474114,CPT,11400,TES@RW 04/06/2020 05:30AM ET,TES,0
JNG, SofM (14474101), SofM,14474101,CPT,11100,SN@V5 04/06/2020 02:00AM ET,SN,64.58
MID, Forge (14474086), Forge,14474086,CPT,11100,OMG@VG 04/06/2020 04:00AM ET,VG,74.82
ADC, iBoy (14474115), iBoy,14474115,CPT,11100,OMG@VG 04/06/2020 04:00AM ET,VG,63.78
MID, Zeka (14474087), Zeka,14474087,CPT,10800,OMG@VG 04/06/2020 04:00AM ET,VG,41.32
JNG, Karsa (14474102), Karsa,14474102,CPT,10800,TES@RW 04/06/2020 05:30AM ET,TES,67.27
MID, icon (14474088), icon,14474088,CPT,10500,OMG@VG 04/06/2020 04:00AM ET,OMG,54.55
JNG, AKi (14474103), AKi,14474103,CPT,10500,TES@RW 04/06/2020 05:30AM ET,TES,0
ADC, ZWuji (14474116), ZWuji,14474116,CPT,10500,TES@RW 04/06/2020 05:30AM ET,RW,69.94
JNG, Aix (14474104), Aix,14474104,CPT,10200,OMG@VG 04/06/2020 04:00AM ET,VG,63.15
ADC, Smlz (14474117), Smlz,14474117,CPT,10200,OMG@VG 04/06/2020 04:00AM ET,OMG,55
TOP, 369 (14474073),369,14474073,CPT,10200,TES@RW 04/06/2020 05:30AM ET,TES,63.85
MID, Ruby (14474089), Ruby,14474089,CPT,10200,TES@RW 04/06/2020 05:30AM ET,RW,52.33
TOP, Biubiu (14474074), Biubiu,14474074,CPT,9900,SN@V5 04/06/2020 02:00AM ET,SN,57.89
JNG, Chieftain (14474105), Chieftain,14474105,CPT,9900,OMG@VG 04/06/2020 04:00AM ET,VG,32.72
ADC, Kane (14474118), Kane,14474118,CPT,9900,OMG@VG 04/06/2020 04:00AM ET,OMG,0
TOP, Moyu (14474075), Moyu,14474075,CPT,9900,TES@RW 04/06/2020 05:30AM ET,TES,0
MID, Wuming (14474090), Wuming,14474090,CPT,9900,TES@RW 04/06/2020 05:30AM ET,RW,33.54
TOP, bin (14474076), bin,14474076,CPT,9600,SN@V5 04/06/2020 02:00AM ET,SN,29.36
MID, Mole (14474091), Mole,14474091,CPT,9600,SN@V5 04/06/2020 02:00AM ET,V5,29.45
ADC, y4 (14474119), y4,14474119,CPT,9600,SN@V5 04/06/2020 02:00AM ET,V5,28.88
JNG, H4cker (14474106), H4cker,14474106,CPT,9600,OMG@VG 04/06/2020 04:00AM ET,OMG,52.01
TOP, Cube (14474077), Cube,14474077,CPT,9300,OMG@VG 04/06/2020 04:00AM ET,VG,51.4
JNG, Haro (14474107), Haro,14474107,CPT,9300,TES@RW 04/06/2020 05:30AM ET,RW,50.45
SUP, SwordArt (14474092), SwordArt,14474092,CPT,9000,SN@V5 04/06/2020 02:00AM ET,SN,48.63
TOP, Zdz (14474078), Zdz,14474078,CPT,9000,OMG@VG 04/06/2020 04:00AM ET,VG,0
JNG, xiaohan (14474108), xiaohan,14474108,CPT,8700,SN@V5 04/06/2020 02:00AM ET,V5,18.42
TOP, Curse (14474079), Curse,14474079,CPT,8700,OMG@VG 04/06/2020 04:00AM ET,OMG,46.94
SUP, QiuQiu (14474093), QiuQiu,14474093,CPT,8700,TES@RW 04/06/2020 05:30AM ET,TES,62.59
TEAM, Top Esports (14474120), Top Esports,14474120,CPT,8700,TES@RW 04/06/2020 05:30AM ET,TES,42.9
JNG, As6 (14474109), As6,14474109,CPT,8400,SN@V5 04/06/2020 02:00AM ET,V5,26.5
JNG, Daylight (14474110), Daylight,14474110,CPT,8400,SN@V5 04/06/2020 02:00AM ET,V5,15.12
TEAM, Suning (14474121), Suning,14474121,CPT,8400,SN@V5 04/06/2020 02:00AM ET,SN,37.82
SUP, yuyanjia (14474094), yuyanjia,14474094,CPT,8400,TES@RW 04/06/2020 05:30AM ET,TES,31.53
ADC, huanfeng (14474058), huanfeng,14474058,ADC,8200,SN@V5 04/06/2020 02:00AM ET,SN,80.32
SUP, Hang (14474095), Hang,14474095,CPT,8100,OMG@VG 04/06/2020 04:00AM ET,VG,53.93
TOP, Crazy (14474080), Crazy,14474080,CPT,8100,TES@RW 04/06/2020 05:30AM ET,RW,48.68
ADC, Weiwei (14474059), Weiwei,14474059,ADC,8000,SN@V5 04/06/2020 02:00AM ET,SN,55.76
MID, Knight (14474031), Knight,14474031,MID,8000,TES@RW 04/06/2020 05:30AM ET,TES,78.91
MID, Angel (14474032), Angel,14474032,MID,7800,SN@V5 04/06/2020 02:00AM ET,SN,72.74
ADC, Photic (14474060), Photic,14474060,ADC,7800,TES@RW 04/06/2020 05:30AM ET,TES,75.57
SUP, Maestro (14474096), Maestro,14474096,CPT,7800,OMG@VG 04/06/2020 04:00AM ET,VG,34.83
TEAM, Vici Gaming (14474122), Vici Gaming,14474122,CPT,7800,OMG@VG 04/06/2020 04:00AM ET,VG,38.27
TOP, Holder (14474081), Holder,14474081,CPT,7800,TES@RW 04/06/2020 05:30AM ET,RW,33.76
ADC, JackeyLove (14474061), JackeyLove,14474061,ADC,7600,TES@RW 04/06/2020 05:30AM ET,TES,0
TOP, Aliez (14474082), Aliez,14474082,CPT,7500,SN@V5 04/06/2020 02:00AM ET,V5,20.58
JNG, SofM (14474048), SofM,14474048,JNG,7400,SN@V5 04/06/2020 02:00AM ET,SN,64.58
MID, Forge (14474033), Forge,14474033,MID,7400,OMG@VG 04/06/2020 04:00AM ET,VG,74.82
ADC, iBoy (14474062), iBoy,14474062,ADC,7400,OMG@VG 04/06/2020 04:00AM ET,VG,63.78
MID, Zeka (14474034), Zeka,14474034,MID,7200,OMG@VG 04/06/2020 04:00AM ET,VG,41.32
JNG, Karsa (14474049), Karsa,14474049,JNG,7200,TES@RW 04/06/2020 05:30AM ET,TES,67.27
TOP, 997 (14474083),997,14474083,CPT,7200,SN@V5 04/06/2020 02:00AM ET,V5,0
TEAM, OMG (14474123), OMG,14474123,CPT,7200,OMG@VG 04/06/2020 04:00AM ET,OMG,38.1
SUP, Ley (14474097), Ley,14474097,CPT,7200,TES@RW 04/06/2020 05:30AM ET,RW,46.19
MID, icon (14474035), icon,14474035,MID,7000,OMG@VG 04/06/2020 04:00AM ET,OMG,54.55
JNG, AKi (14474050), AKi,14474050,JNG,7000,TES@RW 04/06/2020 05:30AM ET,TES,0
