league,split,date,week,side,position,player,team,gamelength,result,k,d,a,teamkills,teamdeaths,cs,fpts
LCS,2019-2,43617.649919999996,1,Blue,Top,Licorice,Cloud9,35.5,1,6,3,12,21,14,301,47.02
LCS,2019-2,43617.649919999996,1,Blue,Jungle,Svenskeren,Cloud9,35.5,1,1,5,10,21,14,310,24.2
LCS,2019-2,43617.649919999996,1,Blue,Middle,Nisqy,Cloud9,35.5,1,9,2,7,21,14,312,45.24
LCS,2019-2,43617.649919999996,1,Blue,ADC,Sneaky,Cloud9,35.5,1,5,2,9,21,14,311,37.22
LCS,2019-2,43617.649919999996,1,Blue,Support,Zeyzal,Cloud9,35.5,1,0,2,14,21,14,70,29.4
LCS,2019-2,43617.649919999996,1,Red,Top,V1per,FlyQuest,35.5,0,4,5,6,14,21,301,25.02
LCS,2019-2,43617.649919999996,1,Red,Jungle,Santorin,FlyQuest,35.5,0,0,5,8,14,21,282,16.64
LCS,2019-2,43617.649919999996,1,Red,Middle,Pobelter,FlyQuest,35.5,0,3,5,6,14,21,345,22.9
LCS,2019-2,43617.649919999996,1,Red,ADC,WildTurtle,FlyQuest,35.5,0,7,2,3,14,21,331,31.62
LCS,2019-2,43617.649919999996,1,Red,Support,JayJ,FlyQuest,35.5,0,0,4,9,14,21,71,15.42
LCS,2019-2,43617.649919999996,1,Blue,Team,Team,Cloud9,35.5,1,21,14,52,21,14,1304,19.0
LCS,2019-2,43617.649919999996,1,Red,Team,Team,FlyQuest,35.5,0,14,21,32,14,21,1330,10.0
LCS,2019-2,43617.69661,1,Blue,Top,Impact,Team Liquid,29.7,1,2,1,5,11,4,228,19.56
LCS,2019-2,43617.69661,1,Blue,Jungle,Xmithie,Team Liquid,29.7,1,2,2,8,11,4,263,25.26
LCS,2019-2,43617.69661,1,Blue,Middle,Jensen,Team Liquid,29.7,1,2,0,4,11,4,317,20.34
LCS,2019-2,43617.69661,1,Blue,ADC,Doublelift,Team Liquid,29.7,1,5,0,2,11,4,392,26.84
LCS,2019-2,43617.69661,1,Blue,Support,CoreJJ,Team Liquid,29.7,1,0,1,6,11,4,17,11.34
LCS,2019-2,43617.69661,1,Red,Top,Broken Blade,Team SoloMid,29.7,0,1,2,1,4,11,251,8.02
LCS,2019-2,43617.69661,1,Red,Jungle,Akaadian,Team SoloMid,29.7,0,1,2,3,4,11,232,11.64
LCS,2019-2,43617.69661,1,Red,Middle,Bjergsen,Team SoloMid,29.7,0,0,3,0,4,11,286,2.72
LCS,2019-2,43617.69661,1,Red,ADC,Zven,Team SoloMid,29.7,0,2,2,2,4,11,253,13.06
LCS,2019-2,43617.69661,1,Red,Support,Smoothie,Team SoloMid,29.7,0,0,2,4,4,11,48,6.96
LCS,2019-2,43617.69661,1,Blue,Team,Team,Team Liquid,29.7,1,11,4,25,11,4,1217,24.0
LCS,2019-2,43617.69661,1,Red,Team,Team,Team SoloMid,29.7,0,4,11,10,4,11,1070,4.0
LCS,2019-2,43617.73742,1,Blue,Top,Ruin,Counter Logic Gaming,31.98333333,1,3,2,2,12,3,279,16.58
LCS,2019-2,43617.73742,1,Blue,Jungle,Wiggily,Counter Logic Gaming,31.98333333,1,1,0,8,12,3,236,23.72
LCS,2019-2,43617.73742,1,Blue,Middle,PowerOfEvil,Counter Logic Gaming,31.98333333,1,3,1,4,12,3,375,23.5
LCS,2019-2,43617.73742,1,Blue,ADC,Stixxay,Counter Logic Gaming,31.98333333,1,5,0,3,12,3,334,27.68
LCS,2019-2,43617.73742,1,Blue,Support,Biofrost,Counter Logic Gaming,31.98333333,1,0,0,9,12,3,19,18.38
LCS,2019-2,43617.73742,1,Red,Top,Ssumday,100 Thieves,31.98333333,0,1,2,0,3,12,309,7.18
LCS,2019-2,43617.73742,1,Red,Jungle,Amazing,100 Thieves,31.98333333,0,1,4,0,3,12,225,3.5
LCS,2019-2,43617.73742,1,Red,Middle,Soligo,100 Thieves,31.98333333,0,0,1,1,3,12,304,7.08
LCS,2019-2,43617.73742,1,Red,ADC,Bang,100 Thieves,31.98333333,0,1,1,1,3,12,311,10.22
LCS,2019-2,43617.73742,1,Red,Support,aphromoo,100 Thieves,31.98333333,0,0,4,2,3,12,14,0.28
LCS,2019-2,43617.73742,1,Blue,Team,Team,Counter Logic Gaming,31.98333333,1,12,3,26,12,3,1243,24.0
LCS,2019-2,43617.73742,1,Red,Team,Team,100 Thieves,31.98333333,0,3,12,4,3,12,1163,5.0
LCS,2019-2,43617.77995,1,Blue,Top,Huni,Clutch Gaming,38.88333333,0,4,4,4,9,14,287,21.74
LCS,2019-2,43617.77995,1,Blue,Jungle,Lira,Clutch Gaming,38.88333333,0,1,4,4,9,14,316,13.32
LCS,2019-2,43617.77995,1,Blue,Middle,Damonte,Clutch Gaming,38.88333333,0,3,0,3,9,14,407,23.14
LCS,2019-2,43617.77995,1,Blue,ADC,Cody Sun,Clutch Gaming,38.88333333,0,1,2,3,9,14,360,14.2
LCS,2019-2,43617.77995,1,Blue,Support,Vulcan,Clutch Gaming,38.88333333,0,0,4,2,9,14,90,1.8
LCS,2019-2,43617.77995,1,Red,Top,Dhokla,OpTic Gaming,38.88333333,1,1,0,5,14,9,272,18.44
LCS,2019-2,43617.77995,1,Red,Jungle,Meteos,OpTic Gaming,38.88333333,1,4,1,8,14,9,324,33.48
LCS,2019-2,43617.77995,1,Red,Middle,Crown,OpTic Gaming,38.88333333,1,4,2,6,14,9,385,29.7
LCS,2019-2,43617.77995,1,Red,ADC,Arrow,OpTic Gaming,38.88333333,1,4,2,7,14,9,357,31.14
LCS,2019-2,43617.77995,1,Red,Support,Big,OpTic Gaming,38.88333333,1,1,4,8,14,9,81,16.62
LCS,2019-2,43617.77995,1,Blue,Team,Team,Clutch Gaming,38.88333333,0,9,14,16,9,14,1460,9.0
LCS,2019-2,43617.77995,1,Red,Team,Team,OpTic Gaming,38.88333333,1,14,9,34,14,9,1419,21.0
LCS,2019-2,43617.82647,1,Blue,Top,Hauntzer,Golden Guardians,28.6,1,2,1,4,10,2,262,18.24
LCS,2019-2,43617.82647,1,Blue,Jungle,Contractz,Golden Guardians,28.6,1,3,0,5,10,2,240,23.8
LCS,2019-2,43617.82647,1,Blue,Middle,Froggen,Golden Guardians,28.6,1,4,0,4,10,2,325,26.5
LCS,2019-2,43617.82647,1,Blue,ADC,Deftly,Golden Guardians,28.6,1,0,1,8,10,2,309,21.18
LCS,2019-2,43617.82647,1,Blue,Support,Olleh,Golden Guardians,28.6,1,1,0,9,10,2,62,22.24
LCS,2019-2,43617.82647,1,Red,Top,Solo,Echo Fox,28.6,0,0,1,1,2,10,249,5.98
LCS,2019-2,43617.82647,1,Red,Jungle,Rush,Echo Fox,28.6,0,0,4,2,2,10,242,4.84
LCS,2019-2,43617.82647,1,Red,Middle,Yusui,Echo Fox,28.6,0,1,2,0,2,10,262,6.24
LCS,2019-2,43617.82647,1,Red,ADC,Lost,Echo Fox,28.6,0,0,1,2,2,10,309,9.18
