gameid,date,league,split,side,week,side,position,player,team,gamelength,result,k,d,a,teamkills,teamdeaths,cs,fpts
1092338,43617.64992,LCS,2019-2,Blue,1,Blue,Top,Licorice,Cloud9,35.5,1,6,3,12,21,14,284,46.68
1092338,43617.64992,LCS,2019-2,Blue,1,Blue,Jungle,Svenskeren,Cloud9,35.5,1,1,5,10,21,14,200,22.0
1092338,43617.64992,LCS,2019-2,Blue,1,Blue,Middle,Nisqy,Cloud9,35.5,1,9,2,7,21,14,284,44.68
1092338,43617.64992,LCS,2019-2,Blue,1,Blue,ADC,Sneaky,Cloud9,35.5,1,5,2,9,21,14,291,36.82
1092338,43617.64992,LCS,2019-2,Blue,1,Blue,Support,Zeyzal,Cloud9,35.5,1,0,2,14,21,14,70,29.4
1092338,43617.64992,LCS,2019-2,Red,1,Red,Top,V1per,FlyQuest,35.5,0,4,5,6,14,21,290,24.8
1092338,43617.64992,LCS,2019-2,Red,1,Red,Jungle,Santorin,FlyQuest,35.5,0,0,5,8,14,21,169,14.38
1092338,43617.64992,LCS,2019-2,Red,1,Red,Middle,Pobelter,FlyQuest,35.5,0,3,5,6,14,21,329,22.58
1092338,43617.64992,LCS,2019-2,Red,1,Red,ADC,WildTurtle,FlyQuest,35.5,0,7,2,3,14,21,312,31.24
1092338,43617.64992,LCS,2019-2,Red,1,Red,Support,JayJ,FlyQuest,35.5,0,0,4,9,14,21,71,15.42
1092338,43617.64992,LCS,2019-2,Blue,1,Blue,Team,Team,Cloud9,35.5,1,21,14,52,21,14,1129,19.0
1092338,43617.64992,LCS,2019-2,Red,1,Red,Team,Team,FlyQuest,35.5,0,14,21,32,14,21,1171,10.0
1092362,43617.69661,LCS,2019-2,Blue,1,Blue,Top,Impact,Team Liquid,29.7,1,2,1,5,11,4,228,19.56
1092362,43617.69661,LCS,2019-2,Blue,1,Blue,Jungle,Xmithie,Team Liquid,29.7,1,2,2,8,11,4,161,23.22
1092362,43617.69661,LCS,2019-2,Blue,1,Blue,Middle,Jensen,Team Liquid,29.7,1,2,0,4,11,4,300,20.0
1092362,43617.69661,LCS,2019-2,Blue,1,Blue,ADC,Doublelift,Team Liquid,29.7,1,5,0,2,11,4,353,26.06
1092362,43617.69661,LCS,2019-2,Blue,1,Blue,Support,CoreJJ,Team Liquid,29.7,1,0,1,6,11,4,17,11.34
1092362,43617.69661,LCS,2019-2,Red,1,Red,Top,Broken Blade,Team SoloMid,29.7,0,1,2,1,4,11,251,8.02
1092362,43617.69661,LCS,2019-2,Red,1,Red,Jungle,Akaadian,Team SoloMid,29.7,0,1,2,3,4,11,154,10.08
1092362,43617.69661,LCS,2019-2,Red,1,Red,Middle,Bjergsen,Team SoloMid,29.7,0,0,3,0,4,11,282,2.64
1092362,43617.69661,LCS,2019-2,Red,1,Red,ADC,Zven,Team SoloMid,29.7,0,2,2,2,4,11,253,13.06
1092362,43617.69661,LCS,2019-2,Red,1,Red,Support,Smoothie,Team SoloMid,29.7,0,0,2,4,4,11,48,6.96
1092362,43617.69661,LCS,2019-2,Blue,1,Blue,Team,Team,Team Liquid,29.7,1,11,4,25,11,4,1059,24.0
1092362,43617.69661,LCS,2019-2,Red,1,Red,Team,Team,Team SoloMid,29.7,0,4,11,10,4,11,988,4.0
