fpts,result,gamelength
4.24,0,25.38333333
32.16,1,25.38333333
33.46,1,45.06666667
37.78,0,45.06666667
24.72,1,22.95
-1.84,0,22.95
28.48,1,24.81666667
2.42,0,24.81666667
17.66,1,23.8
-0.74,0,23.8
37.34,1,31.5
1.16,0,31.5
31.8,1,46.3
5.3,0,46.3
0.88,0,31.58333333
25.48,1,31.58333333
24.36,1,28.55
0.4,0,28.55
18.22,0,48.31666667
29.06,1,48.31666667
8.42,0,33.25
21.36,1,33.25
6.24,0,39.5
26.78,1,39.5
2.46,0,30.05
23.4,1,30.05
25.0,1,35.91666667
17.26,0,35.91666667
35.72,1,27.3
7.88,0,27.3
9.4,0,26.18333333
33.739999999999995,1,26.18333333
21.82,1,40.36666667
16.48,0,40.36666667
3.52,0,37.3
8.72,1,37.3
18.0,1,31.08333333
-1.6,0,31.08333333
19.24,1,32.55
0.24,0,32.55
3.44,0,32.75
14.0,1,32.75
26.62,1,26.56666667
0.42,0,26.56666667
26.92,0,38.76666667
35.78,1,38.76666667
15.72,0,37.25
14.02,1,37.25
14.3,1,26.31666667
9.58,0,26.31666667
6.34,0,27.76666667
18.24,1,27.76666667
22.34,1,33.33333333
6.42,0,33.33333333
16.8,1,51.51666667
10.16,0,51.51666667
23.32,1,32.35
2.16,0,32.35
8.06,1,34.31666667
4.16,0,34.31666667
-5.56,0,33.35
35.42,1,33.35
36.72,1,29.36666667
5.62,0,29.36666667
26.84,1,24.63333333
-1.52,0,24.63333333
26.68,0,43.86666667
4.5,1,43.86666667
35.38,1,37.55
6.28,0,37.55
14.06,0,40.86666667
24.58,1,40.86666667
10.52,0,32.23333333
36.94,1,32.23333333
28.02,1,36.58333333
7.0600000000000005,0,36.58333333
18.16,1,42.71666667
2.56,0,42.71666667
0.32,0,22.7
12.9,1,22.7
11.5,1,36.63333333
9.8,0,36.63333333
38.58,1,45.46666667
8.6,0,45.46666667
20.82,1,36.43333333
13.48,0,36.43333333
4.52,0,37.33333333
14.64,1,37.33333333
11.6,0,40.46666667
30.38,1,40.46666667
2.2,0,33.3
26.6,1,33.3
34.06,1,47.0
18.96,0,47.0
19.34,1,32.95
7.84,0,32.95
35.7,1,33.63333333
7.36,0,33.63333333
21.8,1,36.31666667
8.3,0,36.31666667
32.480000000000004,1,40.61666667
-1.2999999999999998,0,40.61666667
32.6,1,42.15
8.36,0,42.15
-2.68,0,29.28333333
18.54,1,29.28333333
20.36,1,35.43333333
9.72,0,35.43333333
26.82,1,42.46666667
18.38,0,42.46666667
4.68,0,33.23333333
28.48,1,33.23333333
20.44,1,25.75
1.82,0,25.75
28.64,1,33.73333333
6.98,0,33.73333333
4.64,0,33.23333333
34.56,1,33.23333333
6.5,0,27.6
19.8,1,27.6
19.52,1,38.73333333
10.54,0,38.73333333
40.34,1,26.58333333
14.62,0,26.58333333
34.82,1,32.2
24.62,0,32.2
2.36,0,34.53333333
11.84,1,34.53333333
18.62,1,30.56666667
3.76,0,30.56666667
18.68,1,27.33333333
-1.6,0,27.33333333
21.36,0,40.28333333
21.64,1,40.28333333
20.46,1,33.2
12.22,0,33.2
18.96,1,34.28333333
-0.6399999999999999,0,34.28333333
26.7,1,34.78333333
12.92,0,34.78333333
14.6,0,40.38333333
37.68,1,40.38333333
10.84,0,35.98333333
23.54,1,35.98333333
8.88,1,49.71666667
10.96,0,49.71666667
31.56,0,38.9
29.44,1,38.9
-1.3199999999999998,0,28.41666667
28.0,1,28.41666667
26.66,1,30.61666667
14.42,0,30.61666667
24.58,1,49.1
11.84,0,49.1
6.64,0,36.18333333
35.84,1,36.18333333
19.34,1,43.8
10.96,0,43.8
9.82,0,27.98333333
33.6,1,27.98333333
0.74,0,26.76666667
29.6,1,26.76666667
12.92,1,31.41666667
15.42,0,31.41666667
14.56,0,61.56666667
42.86,1,61.56666667
7.34,1,23.6
7.64,0,23.6
19.52,1,33.61666667
11.36,0,33.61666667
28.4,1,46.08333333
22.7,0,46.08333333
9.54,0,40.51666667
21.38,1,40.51666667
16.84,1,38.41666667
6.54,0,38.41666667
47.48,1,29.76666667
6.64,0,29.76666667
20.34,0,40.8
35.84,1,40.8
22.62,0,33.96666667
16.74,1,33.96666667
20.32,1,25.01666667
1.5,0,25.01666667
8.0,1,33.16666667
-1.04,0,33.16666667
34.06,1,37.83333333
4.52,0,37.83333333
8.4,0,43.31666667
13.58,1,43.31666667
4.86,0,37.38333333
24.56,1,37.38333333
2.46,0,33.31666667
21.9,1,33.31666667
4.28,0,40.43333333
16.72,1,40.43333333
17.58,1,39.8
2.2800000000000002,0,39.8
5.46,0,29.33333333
22.48,1,29.33333333
8.46,0,36.83333333
20.0,1,36.83333333
1.96,0,34.7
31.68,1,34.7
45.18,1,54.96666667
21.78,0,54.96666667
13.42,0,36.15
31.7,1,36.15
21.42,1,37.23333333
9.5,0,37.23333333
8.8,1,26.6
0.38,0,26.6
20.18,1,56.53333333
19.22,0,56.53333333
8.38,1,39.45
4.88,0,39.45
13.52,0,50.45
19.78,1,50.45
27.02,1,29.85
3.74,0,29.85
16.62,1,33.2
3.52,0,33.2
-2.8,0,39.35
21.8,1,39.35
22.06,0,38.33333333
21.1,1,38.33333333
11.16,1,40.86666667
20.88,0,40.86666667
-1.2999999999999998,0,28.6
17.9,1,28.6
8.96,1,29.91666667
4.8,0,29.91666667
18.68,1,46.7
13.62,0,46.7
27.94,1,41.8
0.24,0,41.8
33.58,1,29.75
-1.04,0,29.75
2.3,0,36.83333333
16.7,1,36.83333333
34.3,1,30.88333333
1.7000000000000002,0,30.88333333
9.46,0,25.58333333
31.48,1,25.58333333
21.2,0,43.2
44.82,1,43.2
36.6,1,28.88333333
8.54,0,28.88333333
17.12,0,32.76666667
47.74,1,32.76666667
10.44,0,39.45
14.1,1,39.45
52.2,1,51.16666667
28.98,0,51.16666667
10.08,1,28.55
8.42,0,28.55
9.28,0,33.85
9.64,1,33.85
10.2,0,30.6
28.3,1,30.6
6.04,0,35.68333333
27.06,1,35.68333333
8.28,1,25.3
3.3,0,25.3
5.58,0,28.05
34.76,1,28.05
14.3,0,39.76666667
43.62,1,39.76666667
27.54,1,44.36666667
6.84,0,44.36666667
15.6,1,36.21666667
7.62,0,36.21666667
27.44,1,31.71666667
8.98,0,31.71666667
25.12,1,29.93333333
-1.28,0,29.93333333
45.24,1,34.2
11.46,0,34.2
48.6,1,43.2
53.7,0,43.2
22.76,1,32.53333333
13.84,0,32.53333333
20.48,1,33.23333333
18.46,0,33.23333333
19.34,1,32.01666667
0.34,0,32.01666667
10.36,0,34.8
17.52,1,34.8
22.42,1,32.18333333
6.7,0,32.18333333
1.76,0,31.06666667
27.66,1,31.06666667
30.7,1,27.76666667
1.62,0,27.76666667
5.78,0,29.25
30.5,1,29.25
14.48,1,33.45
6.86,0,33.45
32.44,1,34.78333333
13.42,0,34.78333333
11.32,1,51.83333333
17.82,0,51.83333333
23.96,1,33.61666667
-0.020000000000000018,0,33.61666667
33.64,1,49.81666667
23.22,0,49.81666667
20.44,1,36.93333333
15.36,0,36.93333333
5.7,0,39.4
18.22,1,39.4
18.78,1,42.4
11.02,0,42.4
21.54,1,34.18333333
8.1,0,34.18333333
36.94,1,47.25
20.06,0,47.25
3.5,0,30.83333333
24.86,1,30.83333333
13.120000000000001,1,29.1
7.3,0,29.1
22.96,1,35.4
2.52,0,35.4
4.7,0,40.03333333
14.66,1,40.03333333
37.08,0,45.48333333
12.1,1,45.48333333
14.76,1,33.88333333
4.32,0,33.88333333
31.38,1,51.61666667
15.42,0,51.61666667
16.28,1,27.38333333
11.24,0,27.38333333
44.64,1,39.81666667
21.92,0,39.81666667
23.98,1,39.45
33.78,0,39.45
12.62,1,33.08333333
1.98,0,33.08333333
35.44,1,36.0
-0.52,0,36.0
24.86,1,34.83333333
0.62,0,34.83333333
35.78,1,32.3
1.98,0,32.3
28.3,1,32.63333333
5.66,0,32.63333333
28.36,0,38.8
17.38,1,38.8
27.76,1,35.21666667
0.8200000000000001,0,35.21666667
17.94,1,24.1
0.62,0,24.1
22.86,1,36.63333333
8.36,0,36.63333333
15.98,0,32.5
18.0,1,32.5
16.32,0,33.58333333
47.26,1,33.58333333
1.7000000000000002,0,26.6
29.32,1,26.6
18.48,1,26.46666667
5.04,0,26.46666667
3.42,0,32.26666667
10.92,1,32.26666667
12.54,0,46.05
28.6,1,46.05
22.04,1,42.35
9.86,0,42.35
17.68,1,28.05
3.4,0,28.05
17.64,1,29.21666667
12.64,0,29.21666667
11.14,0,23.18333333
31.5,1,23.18333333
4.24,0,29.23333333
35.22,1,29.23333333
31.02,1,38.78333333
2.7800000000000002,0,38.78333333
13.58,1,26.25
3.42,0,26.25
1.72,0,31.38333333
34.22,1,31.38333333
43.86,1,38.81666667
-4.18,0,38.81666667
12.82,1,30.91666667
12.26,0,30.91666667
25.74,1,38.28333333
20.36,0,38.28333333
4.52,0,32.96666667
40.96,1,32.96666667
28.46,1,27.15
12.62,0,27.15
5.16,0,31.25
17.28,1,31.25
17.54,1,29.56666667
10.0,0,29.56666667
26.06,1,34.11666667
7.32,0,34.11666667
35.82,1,25.68333333
0.88,0,25.68333333
21.68,0,41.41666667
27.42,1,41.41666667
17.32,1,31.0
12.46,0,31.0
9.96,0,31.75
39.8,1,31.75
0.56,0,38.98333333
25.04,1,38.98333333
15.120000000000001,1,49.23333333
16.98,0,49.23333333
5.5600000000000005,0,35.5
4.8,1,35.5
31.74,0,46.4
35.02,1,46.4
18.06,0,41.9
24.52,1,41.9
14.62,0,37.03333333
15.22,1,37.03333333
2.2800000000000002,0,25.3
32.620000000000005,1,25.3
3.06,0,29.16666667
22.78,1,29.16666667
25.64,1,37.71666667
5.42,0,37.71666667
13.44,1,37.0
3.12,0,37.0
9.86,0,38.23333333
18.02,1,38.23333333
8.7,0,42.85
24.1,1,42.85
16.04,0,44.9
21.18,1,44.9
14.62,1,32.08333333
1.88,0,32.08333333
14.02,1,44.73333333
18.12,0,44.73333333
18.26,0,42.01666667
27.64,1,42.01666667
13.92,1,28.63333333
2.42,0,28.63333333
20.52,1,35.53333333
6.64,0,35.53333333
21.8,1,45.73333333
15.64,0,45.73333333
6.78,0,37.96666667
26.48,1,37.96666667
0.6,0,38.26666667
19.38,1,38.26666667
30.68,1,44.73333333
33.0,0,44.73333333
29.66,1,38.81666667
15.54,0,38.81666667
34.82,1,36.01666667
14.58,0,36.01666667
14.88,1,35.2
-0.05999999999999994,0,35.2
4.26,0,24.33333333
16.54,1,24.33333333
20.62,1,24.43333333
3.86,0,24.43333333
35.3,1,40.55
32.4,0,40.55
8.68,0,43.53333333
8.68,1,43.53333333
16.08,1,47.08333333
19.48,0,47.08333333
16.08,1,33.21666667
19.48,0,33.21666667
26.8,1,36.55
-2.86,0,36.55
13.54,1,46.8
23.1,0,46.8
18.28,0,44.43333333
24.58,1,44.43333333
25.26,1,33.73333333
0.17999999999999994,0,33.73333333
26.54,1,29.83333333
-2.34,0,29.83333333
-0.07999999999999996,0,29.75
20.78,1,29.75
-0.6599999999999999,0,27.33333333
19.5,1,27.33333333
31.06,1,40.1
16.04,0,40.1
4.0600000000000005,0,35.01666667
30.52,1,35.01666667
10.36,0,38.73333333
38.44,1,38.73333333
22.48,0,43.45
18.34,1,43.45
4.38,0,29.96666667
37.28,1,29.96666667
34.92,1,33.5
1.6400000000000001,0,33.5
24.44,1,50.28333333
27.74,0,50.28333333
27.46,1,39.18333333
6.42,0,39.18333333
18.36,1,28.13333333
3.66,0,28.13333333
16.42,0,46.06666667
35.68,1,46.06666667
26.3,1,36.81666667
9.44,0,36.81666667
5.96,0,32.63333333
14.08,1,32.63333333
18.94,1,31.01666667
8.88,0,31.01666667
29.02,1,47.3
3.16,0,47.3
17.04,0,45.6
42.88,1,45.6
-1.24,0,28.68333333
14.120000000000001,1,28.68333333
37.74,1,29.83333333
18.8,0,29.83333333
29.22,1,24.11666667
6.38,0,24.11666667
9.48,0,32.41666667
33.2,1,32.41666667
38.44,1,26.3
5.36,0,26.3
4.24,0,31.1
17.36,1,31.1
24.86,1,65.9
21.8,0,65.9
6.34,1,32.83333333
3.56,0,32.83333333
28.42,1,34.43333333
18.96,0,34.43333333
53.96,1,55.3
45.94,0,55.3
19.38,1,26.23333333
5.16,0,26.23333333
-2.78,0,26.9
25.42,1,26.9
22.36,1,31.66666667
19.64,0,31.66666667
28.76,1,44.16666667
30.64,0,44.16666667
24.92,1,38.31666667
11.64,0,38.31666667
17.7,1,30.81666667
3.44,0,30.81666667
23.84,1,30.16666667
14.24,0,30.16666667
19.16,1,35.38333333
7.46,0,35.38333333
5.88,0,27.8
14.96,1,27.8
1.1400000000000001,1,35.3
14.120000000000001,0,35.3
-1.28,0,26.08333333
22.72,1,26.08333333
2.54,0,31.5
4.0,1,31.5
12.98,1,28.21666667
11.32,0,28.21666667
11.88,1,29.21666667
2.0,0,29.21666667
17.38,0,38.45
26.46,1,38.45
14.98,0,43.88333333
24.3,1,43.88333333
1.34,0,30.28333333
28.56,1,30.28333333
19.04,1,30.3
2.32,0,30.3
30.44,1,33.55
0.76,0,33.55
36.22,1,54.26666667
26.04,0,54.26666667
28.06,1,37.56666667
10.26,0,37.56666667
32.28,1,39.68333333
16.76,0,39.68333333
15.94,1,37.56666667
10.6,0,37.56666667
3.4,0,26.7
36.44,1,26.7
18.74,1,35.28333333
12.86,0,35.28333333
19.86,1,28.65
-1.82,0,28.65
14.6,0,43.65
22.1,1,43.65
23.8,1,33.61666667
8.58,0,33.61666667
4.42,0,28.56666667
30.74,1,28.56666667
31.3,1,32.8
8.8,0,32.8
24.92,1,26.5
18.04,0,26.5
7.46,0,30.45
42.12,1,30.45
26.98,1,55.48333333
49.42,0,55.48333333
33.620000000000005,1,36.76666667
7.46,0,36.76666667
1.88,0,25.31666667
15.68,1,25.31666667
26.92,1,42.21666667
9.06,0,42.21666667
13.62,1,23.2
8.72,0,23.2
3.5,0,23.91666667
30.58,1,23.91666667
27.88,1,39.55
13.66,0,39.55
7.4,0,40.53333333
42.32,1,40.53333333
0.22,0,24.55
36.76,1,24.55
11.86,0,40.85
16.68,1,40.85
32.78,1,30.36666667
4.86,0,30.36666667
14.86,0,47.01666667
26.14,1,47.01666667
24.6,1,41.55
19.82,0,41.55
1.28,0,26.35
19.16,1,26.35
25.78,1,27.06666667
4.5600000000000005,0,27.06666667
-1.06,0,29.51666667
11.96,1,29.51666667
31.62,1,36.61666667
9.32,0,36.61666667
20.5,0,43.48333333
31.82,1,43.48333333
8.88,0,43.13333333
28.28,1,43.13333333
50.74,1,30.15
4.9,0,30.15
19.76,1,33.73333333
-3.24,0,33.73333333
5.7,0,28.36666667
17.78,1,28.36666667
9.64,0,46.75
34.8,1,46.75
15.5,1,36.96666667
