fpts,gamelength,result
2.76,25.38333333,0
31.72,25.38333333,1
,40.25,0
,40.25,1
,29.63333333,0
,29.63333333,1
,39.31666667,1
,39.31666667,0
,38.48333333,1
,38.48333333,0
,32.23333333,0
,32.23333333,1
,42.95,1
,42.95,0
,49.7,1
,49.7,0
,36.6,0
,36.6,1
25.86,45.06666667,1
52.54,45.06666667,0
,29.8,0
,29.8,1
,30.2,1
,30.2,0
29.22,22.95,1
-0.8399999999999999,22.95,0
,44.03333333,1
,44.03333333,0
,24.08333333,0
,24.08333333,1
,36.28333333,1
,36.28333333,0
33.96,24.81666667,1
11.92,24.81666667,0
,32.66666667,1
,32.66666667,0
,37.58333333,1
,37.58333333,0
,37.65,0
,37.65,1
,28.83333333,1
,28.83333333,0
,41.51666667,1
,41.51666667,0
,23.33333333,1
,23.33333333,0
,40.33333333,1
,40.33333333,0
,35.21666667,1
,35.21666667,0
,41.81666667,0
,41.81666667,1
,29.13333333,1
,29.13333333,0
,28.31666667,0
,28.31666667,1
,37.81666667,1
,37.81666667,0
,41.63333333,1
,41.63333333,0
,53.9,0
,53.9,1
,44.06666667,0
,44.06666667,1
,41.88333333,0
,41.88333333,1
,30.31666667,1
,30.31666667,0
,42.43333333,0
,42.43333333,1
,31.26666667,1
,31.26666667,0
,54.08333333,1
,54.08333333,0
,35.03333333,1
,35.03333333,0
,40.21666667,0
,40.21666667,1
,40.26666667,1
,40.26666667,0
24.08,23.8,1
2.84,23.8,0
,29.65,1
,29.65,0
,29.11666667,0
,29.11666667,1
,28.86666667,1
,28.86666667,0
,35.91666667,1
,35.91666667,0
,26.35,0
,26.35,1
,36.88333333,1
,36.88333333,0
,27.35,1
,27.35,0
,33.61666667,1
,33.61666667,0
,45.48333333,0
,45.48333333,1
,26.11666667,1
,26.11666667,0
,41.56666667,0
,41.56666667,1
,32.2,1
,32.2,0
,43.11666667,0
,43.11666667,1
,42.26666667,1
,42.26666667,0
,37.01666667,0
,37.01666667,1
,34.33333333,1
,34.33333333,0
,40.83333333,1
,40.83333333,0
,52.38333333,1
,52.38333333,0
39.8,31.5,1
8.96,31.5,0
,34.25,1
,34.25,0
,28.83333333,0
,28.83333333,1
,24.75,0
,24.75,1
,31.73333333,1
,31.73333333,0
,32.76666667,0
,32.76666667,1
,32.63333333,0
,32.63333333,1
,28.91666667,1
,28.91666667,0
,31.55,0
,31.55,1
,37.36666667,1
,37.36666667,0
,32.38333333,0
,32.38333333,1
,42.76666667,1
,42.76666667,0
,39.33333333,1
,39.33333333,0
40.66,46.3,1
16.16,46.3,0
,36.66666667,1
,36.66666667,0
,41.06666667,1
,41.06666667,0
,33.15,0
,33.15,1
1.5,31.58333333,0
35.1,31.58333333,1
,25.88333333,0
,25.88333333,1
,30.56666667,1
,30.56666667,0
,45.78333333,1
,45.78333333,0
,30.41666667,0
,30.41666667,1
,55.93333333,0
,55.93333333,1
,47.61666667,1
,47.61666667,0
,35.43333333,0
,35.43333333,1
,34.25,1
,34.25,0
,42.0,0
,42.0,1
,28.0,1
,28.0,0
23.2,28.55,1
11.66,28.55,0
15.040000000000001,48.31666667,0
44.92,48.31666667,1
14.66,33.25,0
22.48,33.25,1
9.76,39.5,0
29.58,39.5,1
13.440000000000001,30.05,0
16.92,30.05,1
20.38,35.91666667,1
18.4,35.91666667,0
29.48,27.3,1
10.32,27.3,0
5.48,26.18333333,0
51.06,26.18333333,1
39.04,40.36666667,1
22.58,40.36666667,0
7.0,37.3,0
22.7,37.3,1
22.12,31.08333333,1
16.18,31.08333333,0
21.6,32.55,1
10.16,32.55,0
8.18,32.75,0
23.060000000000002,32.75,1
26.54,26.56666667,1
2.08,26.56666667,0
14.32,38.76666667,0
34.980000000000004,38.76666667,1
20.68,37.25,0
16.48,37.25,1
18.56,26.31666667,1
10.48,26.31666667,0
5.08,27.76666667,0
25.64,27.76666667,1
33.52,33.33333333,1
11.280000000000001,33.33333333,0
23.46,51.51666667,1
20.1,51.51666667,0
24.84,32.35,1
7.34,32.35,0
30.66,34.31666667,1
8.219999999999999,34.31666667,0
4.44,33.35,0
27.060000000000002,33.35,1
44.06,29.36666667,1
9.1,29.36666667,0
23.66,24.63333333,1
3.52,24.63333333,0
19.200000000000003,43.86666667,0
16.84,43.86666667,1
38.46,37.55,1
12.26,37.55,0
19.34,40.86666667,0
34.2,40.86666667,1
13.379999999999999,32.23333333,0
27.62,32.23333333,1
34.32,36.58333333,1
7.84,36.58333333,0
31.72,42.71666667,1
10.68,42.71666667,0
5.78,22.7,0
8.1,22.7,1
16.32,36.63333333,1
9.48,36.63333333,0
38.36,45.46666667,1
23.46,45.46666667,0
35.72,36.43333333,1
10.92,36.43333333,0
10.540000000000001,37.33333333,0
35.1,37.33333333,1
45.56,40.46666667,0
38.9,40.46666667,1
9.66,33.3,0
25.58,33.3,1
33.6,47.0,1
31.32,47.0,0
20.7,32.95,1
10.76,32.95,0
20.6,33.63333333,1
12.379999999999999,33.63333333,0
22.1,36.31666667,1
11.8,36.31666667,0
21.02,40.61666667,1
9.76,40.61666667,0
36.6,42.15,1
16.42,42.15,0
1.04,29.28333333,0
25.2,29.28333333,1
24.62,35.43333333,1
12.74,35.43333333,0
28.98,42.46666667,1
14.48,42.46666667,0
14.440000000000001,33.23333333,0
37.32,33.23333333,1
20.44,25.75,1
7.4,25.75,0
27.98,33.73333333,1
6.68,33.73333333,0
12.42,33.23333333,0
46.480000000000004,33.23333333,1
5.3,27.6,0
17.16,27.6,1
37.66,38.73333333,1
12.940000000000001,38.73333333,0
39.54,26.58333333,1
19.4,26.58333333,0
31.34,32.2,1
25.1,32.2,0
10.4,34.53333333,0
18.060000000000002,34.53333333,1
24.54,30.56666667,1
13.7,30.56666667,0
16.94,27.33333333,1
-0.23999999999999977,27.33333333,0
13.96,40.28333333,0
18.8,40.28333333,1
29.82,33.2,1
22.28,33.2,0
12.04,34.28333333,1
10.14,34.28333333,0
26.36,34.78333333,1
3.12,34.78333333,0
15.16,40.38333333,0
31.38,40.38333333,1
12.219999999999999,35.98333333,0
31.42,35.98333333,1
30.18,49.71666667,1
16.200000000000003,49.71666667,0
24.32,38.9,0
29.6,38.9,1
1.7199999999999998,28.41666667,0
32.16,28.41666667,1
34.38,30.61666667,1
14.32,30.61666667,0
24.72,49.1,1
20.5,49.1,0
7.52,36.18333333,0
34.6,36.18333333,1
31.46,43.8,1
12.940000000000001,43.8,0
6.3,27.98333333,0
27.88,27.98333333,1
6.98,26.76666667,0
20.32,26.76666667,1
38.82,31.41666667,1
7.92,31.41666667,0
26.700000000000003,61.56666667,0
29.98,61.56666667,1
21.8,23.6,1
20.38,23.6,0
23.42,33.61666667,1
6.5,33.61666667,0
37.42,46.08333333,1
26.259999999999998,46.08333333,0
35.34,40.51666667,0
18.96,40.51666667,1
32.82,38.41666667,1
17.6,38.41666667,0
33.58,29.76666667,1
10.32,29.76666667,0
17.98,40.8,0
31.52,40.8,1
16.02,33.96666667,0
35.16,33.96666667,1
20.88,25.01666667,1
4.2,25.01666667,0
24.5,33.16666667,1
4.96,33.16666667,0
34.58,37.83333333,1
9.74,37.83333333,0
8.32,43.31666667,0
20.5,43.31666667,1
6.5200000000000005,37.38333333,0
42.56,37.38333333,1
14.0,33.31666667,0
30.4,33.31666667,1
11.64,40.43333333,0
33.82,40.43333333,1
28.380000000000003,39.8,1
7.42,39.8,0
6.7,29.33333333,0
37.52,29.33333333,1
10.34,36.83333333,0
28.560000000000002,36.83333333,1
14.02,34.7,0
21.2,34.7,1
34.32,54.96666667,1
37.78,54.96666667,0
11.26,36.15,0
30.14,36.15,1
37.16,37.23333333,1
1.5,37.23333333,0
11.879999999999999,26.6,1
1.58,26.6,0
39.84,56.53333333,1
24.58,56.53333333,0
19.560000000000002,39.45,1
15.16,39.45,0
31.98,50.45,0
35.480000000000004,50.45,1
33.32,29.85,1
7.28,29.85,0
18.5,33.2,1
9.219999999999999,33.2,0
6.380000000000001,39.35,0
32.24,39.35,1
26.02,38.33333333,0
30.78,38.33333333,1
18.1,40.86666667,1
19.1,40.86666667,0
2.62,28.6,0
20.759999999999998,28.6,1
11.26,29.91666667,1
9.74,29.91666667,0
36.38,46.7,1
25.9,46.7,0
35.64,41.8,1
10.76,41.8,0
,41.76666667,1
,41.76666667,0
,39.35,1
,39.35,0
,28.6,1
,28.6,0
,34.86666667,0
,34.86666667,1
,29.16666667,0
,29.16666667,1
,33.06666667,1
,33.06666667,0
,37.33333333,1
,37.33333333,0
,24.71666667,1
,24.71666667,0
,36.96666667,0
,36.96666667,1
,34.41666667,1
,34.41666667,0
,38.9,1
,38.9,0
,26.0,1
,26.0,0
,33.76666667,0
,33.76666667,1
,26.9,1
,26.9,0
,40.88333333,0
,40.88333333,1
,29.28333333,1
,29.28333333,0
,25.18333333,1
,25.18333333,0
,31.6,1
,31.6,0
,38.28333333,1
,38.28333333,0
,38.96666667,1
,38.96666667,0
,44.08333333,1
,44.08333333,0
,27.01666667,1
,27.01666667,0
,40.7,1
,40.7,0
,25.4,1
,25.4,0
,38.71666667,0
,38.71666667,1
